a, sea, break
among, the
and, wild, in
are, the
at, the
away, getting
be, gone
behind, a
break, the, of
by, day, our
chains, of
crossed, the
dawn, without
day, by, see
days, we'll
defending, our
dread, to
endless, sea
equality, among
eyes, faces
faces, pale
fight, for
for, the
forget, these
gentle, waves
getting, stronger
gone, let
guided, by
holes, restrained
in, our, a, gentle
key, will
leave, behind
let, us
lies, the
light, in
like, shallow
line, way
many, tombs
mass, let
masters, will
may, touch
moonsun, see
much, resist
never, forget, regret
no, one
of, lies, trees, the, our, time, dawn
on, when
one, may
others, that
our, eyes, pride, souls, secret
pale, at
pass, equality
pride, wanted
regret, fight
remorse, guided
resist, the
restrained, to
right, defending
scarlet, key
sea, of, these
secret, source
see, the
shallow, holes
shine, on
slip, away
souls, dread
sound, of
source, these
spot, no
still, shine
stronger, day
surrender, of
that, we
the, spot, line, urge, light, sound, scarlet, masters, endless, days, right, mass, chains
these, are
think, like
time, too
to, slip, think, others
tombs, we
too, much, many
touch, crossed
trees, and
up, in
urge, to
us, wake
wake, up
wanted, and
waves, of
way, too
we, pass, will, leave
we'll, never
we're, wanted
when, the
wild, moonsun, we're, surrender, we, wanted
will, still, be, break
without, remorse
