100%, no
15, pontos
150, países
1997, o
2018, após
2030, no
28, de
59, mil
a, letalidade, única, vacina, família, administração, raiva, dose, morte, vários, meta, partir, maioria, doença, vacinação
acha, que
administração, municipal
afeta, o
agredido, por
ajuda, imediata
alertar, sobre
alguns, dias
animais, nos
animal, infectado, desconhecido, sem
ano, a
anos, as
antes, do
ao, seu
aos, humanos
aplicação, casos
após, contato, o
arranhão, ou
as, doses
ataque, de
ato, de
atrasada, se
até, evoluir, 2030
avaliará, o
avanço, provocará
bichinho, tem
brasil, só, têm
cabeça, mal
cachorro, ou
campanha, de
canina, mas
capital, paulista
carinho, com
carinhos, e
casa, já
caso, flagre
casos, de, mais
causa, não
causar, reações
caçar, um
central, após
cidade, não
clínicas, particulares
com, a, um, quem, morcego, o
coma, e
como, febre
comportamento, desorientação
contato, direto
contra, a
controle, da
conviverá, por
convulsão, até
convulsões, salivação
custo, se
cães, e, são
da, ásia, mordida, saúde, aplicação, organização, vítima, doença, áfrica
dados, da
de, casa, 100%, setembro, 59, causa, carinho, carinhos, queimação, incubação, 150, imunização, cabeça, raiva, 2018, mamíferos, animal, prevenção, comportamento, vacinação
deglutir, desidratação
deixar, o
deixará, a
dependem, do
desconhecido, ou
desde, 1997
desidratação, paralisia
desorientação, convulsões
deve, ser, procurar
devem, ser
dia, 28, mundial
dias, a
dificuldade, para
direto, da
do, veterinário, possível, pet, estágio
doente, ou
doença, na, incluem, até, sem, não
dois, pacientes
dor, de, no
dos, três, sintomas
dose, atrasada
doses, são
dá, para
e, com, lambidas, dor, gatos, deixará, afeta, sintomas, provoca, mata, convulsão, morte, ela, controle, da
ela, deve
ele, já, caçar
eliminar, a
em, regiões, clínicas, perigo, mais, humanos, são
encontradas, em
entre, alguns
escapadinha, do
estado, não
estar, formigamento
está, com, presente, ao
estágio, da
evoluir, para
excessiva, nos
família, em
febre, tontura, e
feita, mesmo
ferimentos, de
fixos, de
flagre, seu
foi, vacinado
for, agredido
forma, de
formigamento, pontadas
gato, nunca
gatos, sadios
graves, são
haja, registro
humana, é
humanos, no, a, pode, provocadas, igualmente
há, pandemia, 15, tratamento, campanha
identificada, mesmo
igualmente, letal
imediata, do
imunizados, cães
imunização, a, devem
incluem, mudança
incubação, varia
infectado, conviverá, desde
informe-se, com
justifique, deixar
já, representa, seja
lambedura, de
lambidas, e
lembrado, todo
letal, ⁃
letalidade, é
leves, como
listo, três
local, da
lívia, marra
maioria, em
mais, de, graves
mal, estar
mamíferos, e
marra, seu
mas, também, não
mata, ⁃
meses, a, os
mesma, rotina
mesmo, que
meta, é
mil, pessoas
morcego, doente, infectado, presencie
morcegos, em
mordida, com, arranhão
morte, de, a
motivos, ⁃, para
mudança, de
mundial, da, contra
mundo, cães
municipal, na
na, mesma, capital, vizinhança, sua
nervoso, central
no, mundo, brasil, local
nos, humanos
nunca, foi
não, haja, identificada, há, registra, tem, dá, vacinado
o, estado, sistema, surgimento, avanço, animal, último, tratamento, dia, período, pet, profissional, tutor
obrigatoriamente, todos
ocorrer, febre
oferecidas, por
organização, mundial
os, animais, principais, morcegos, anos, sintomas, riscos
ou, territórios, está, gato, perceba, for, lambedura, não, sensação
outro, animal
pacientes, sobreviveram
pandemia, que
para, alertar, os, vacinar, deglutir, relaxar, coma
paralisia, e
particulares, mas
partir, dos
paulista, há
paulo, o
países, ou
pela, variante
perceba, que
perigo, o
período, de
pessoas, por
pet, com, de, e, contra
pode, causar, ser, ocorrer
pontadas, ou
pontos, fixos
por, que, ano, mordida, outro, semanas, prefeituras
possível, surgimento
prefeituras, sem
preocupar, listo
presencie, ataque
presente, em
preventiva, contra
prevenção, e
principais, transmissores
procurar, ajuda
profissional, avaliará
provoca, a
provocadas, pela
provocará, dificuldade
próxima, de
que, se, seu, justifique, não, ele
queimação, no
quem, está
raiva, lívia, está, ou, em, é, humana, antes
reações, leves
redor, para
registra, casos
registro, de, da
regiões, da
relaxar, uma
repetida, obrigatoriamente
representa, risco
risco, se
riscos, o
rotina, de
sadios, a
salivação, excessiva
saúde, a
se, na, você, preocupar, ele
segundo, dados
seja, vacinado
sem, a, custo, tratamento, sintomas
semanas, sem
sensação, de
ser, repetida, transmitida, feita, imunizados
setembro, segundo
seu, redor, bichinho, cachorro, pet
sido, os
sintomas, na, dependem, não, transmissão, o
sistema, nervoso
sobre, os
sobreviveram, imunização
sua, cidade
surgimento, dos
são, raros, os, oferecidas, encontradas, paulo
só, dois
também, são
tem, por, ferimentos
territórios, e
todo, dia
todos, os
tontura, dor
transmissores, aos
transmissão, e
transmitida, por, aos
tratamento, preventiva, para, e
três, motivos, meses
tutor, deve
têm, sido
um, morcego, ato
uma, escapadinha
vacina, pode, e
vacinado, ou, contra, o
vacinar, seu
vacinação, é, informe-se, deve
varia, entre
variante, canina
veterinário, caso
vizinhança, é
você, acha
vários, meses
vítima, com
áfrica, a
ásia, e
é, a, de, eliminar, lembrado, um, transmitida, próxima, doença
último, registro
única, forma
⁃, raiva, a, pode
